ID,URL,Title,Difficulty,Acceptance %,Frequency %
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.3%,100.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.1%,100.0%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,51.1%,100.0%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,65.0%,76.3%
